📊 [1/25] 172.64.52.127（延迟 20ms，带宽 133.75Mbps，评分 100.0）
📊 [2/25] 104.16.10.10（延迟 51ms，带宽 995.29Mbps，评分 95.0）
📊 [3/25] 104.16.105.166（延迟 51ms，带宽 1534.34Mbps，评分 95.0）
📊 [4/25] 104.16.250.185（延迟 51ms，带宽 2625.19Mbps，评分 95.0）
📊 [5/25] 104.17.51.141（延迟 51ms，带宽 2302.49Mbps，评分 95.0）
📊 [6/25] 104.16.115.251（延迟 52ms，带宽 2571.71Mbps，评分 95.0）
📊 [7/25] 104.16.111.220（延迟 51ms，带宽 2870.18Mbps，评分 95.0）
📊 [8/25] 104.16.120.53（延迟 52ms，带宽 2691.42Mbps，评分 95.0）
📊 [9/25] 104.17.56.63（延迟 52ms，带宽 2790.11Mbps，评分 95.0）
📊 [10/25] 104.17.112.91（延迟 51ms，带宽 3148.63Mbps，评分 95.0）
📊 [11/25] 104.17.139.37（延迟 51ms，带宽 3300.35Mbps，评分 95.0）
📊 [12/25] 104.17.158.165（延迟 51ms，带宽 3246.15Mbps，评分 95.0）
📊 [13/25] 104.17.125.56（延迟 52ms，带宽 3379.34Mbps，评分 95.0）
📊 [14/25] 104.17.162.3（延迟 51ms，带宽 2847.81Mbps，评分 95.0）
📊 [15/25] 104.17.142.212（延迟 52ms，带宽 2965.64Mbps，评分 95.0）
📊 [16/25] 104.17.144.118（延迟 52ms，带宽 2684.95Mbps，评分 95.0）
📊 [17/25] 104.18.44.212（延迟 51ms，带宽 2698.19Mbps，评分 95.0）
📊 [18/25] 104.18.39.48（延迟 51ms，带宽 2832.67Mbps，评分 95.0）
📊 [19/25] 104.18.33.151（延迟 52ms，带宽 2646.02Mbps，评分 95.0）
📊 [20/25] 104.18.81.19（延迟 52ms，带宽 2710.74Mbps，评分 95.0）
📊 [21/25] 104.18.166.129（延迟 51ms，带宽 2703.31Mbps，评分 95.0）
📊 [22/25] 104.18.255.167（延迟 51ms，带宽 2714.51Mbps，评分 95.0）
📊 [23/25] 104.19.148.121（延迟 51ms，带宽 2588.11Mbps，评分 95.0）
📊 [24/25] 104.19.158.73（延迟 51ms，带宽 2750.30Mbps，评分 95.0）
📊 [25/25] 104.18.151.172（延迟 52ms，带宽 2689.40Mbps，评分 95.0）
